link_stub,movie_title,rank_g_movies,lifetime_gross,rank_overall,year,domestic_total_gross,international_total_gross,worldwide_total_gross,domestic_opening,budget,release_date,runtime,distributor,genres,rating
/title/tt0424942/?ref_=bo_cso_table_92,Deep Sea,92,"$46,412,757","1,911",2006,"$46,412,757","$51,818,148","$98,230,905","$700,213",,2006-03-03,,Warner Bros.,"Documentary, Short",G
/title/tt0997047/?ref_=bo_cso_table_94,College Road Trip,94,"$45,610,425","1,939",2008,"$45,610,425","$5,939,249","$51,549,674","$13,601,419",,2008-03-07,83.0,Walt Disney Studios Motion Pictures,"Adventure, Comedy, Drama, Family",
/title/tt0220099/?ref_=bo_cso_table_95,The Tigger Movie,95,"$45,554,533","1,941",2000,"$45,554,533","$50,605,267","$96,159,800","$9,427,532","$30,000,000",2000-02-11,77.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Drama, Family, Musical",
/title/tt0210234/?ref_=bo_cso_table_97,Pokémon the Movie 2000,97,"$43,758,684","2,022",2000,"$43,758,684","$90,190,586","$133,949,270","$19,575,608","$30,000,000",2000-07-21,84.0,Warner Bros.,"Action, Adventure, Animation, Family, Fantasy",
/title/tt11832046/?ref_=bo_cso_table_102,PAW Patrol: The Movie,102,"$40,127,371","2,192",2021,"$40,127,371","$104,200,000","$144,327,371","$13,148,340",,2021-08-11,86.0,Paramount Pictures,"Action, Adventure, Animation, Comedy, Family",G
/title/tt0405469/?ref_=bo_cso_table_109,The Wild,109,"$37,384,046","2,343",2006,"$37,384,046","$64,954,469","$102,338,515","$9,684,809","$80,000,000",2006-04-06,95.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family",G
/title/tt0265632/?ref_=bo_cso_table_111,Recess: School's Out,111,"$36,706,141","2,382",2001,"$36,706,141","$7,754,709","$44,460,850","$10,065,873","$23,000,000",2001-02-16,82.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family",G
/title/tt1020876/?ref_=bo_cso_table_112,Under the Sea 3D,112,"$36,262,926","2,411",2009,"$36,262,926","$19,639,698","$55,902,624","$661,185",,2009-02-13,,Warner Bros.,"Documentary, Short",
/title/tt0065421/?ref_=bo_cso_table_113,The Aristocats,113,"$35,452,658","2,452",1980,"$35,452,658","$6,885","$35,459,543",,,1980-12-19,78.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Musical",
/title/tt0453451/?ref_=bo_cso_table_116,Mr. Bean's Holiday,116,"$33,302,167","2,587",2007,"$33,302,167","$198,923,741","$232,225,908","$9,889,780",,2007-03-22,90.0,Universal Pictures,"Comedy, Family",G
/title/tt0063442/?ref_=bo_cso_table_119,Planet of the Apes,119,"$32,589,624","2,635",1968,"$32,589,624","$9,864","$32,599,488",,,1968-02-08,112.0,Twentieth Century Fox,"Adventure, Sci-Fi",G
/title/tt0457419/?ref_=bo_cso_table_120,Mr. Magorium's Wonder Emporium,120,"$32,061,555","2,674",2007,"$32,061,555","$37,413,106","$69,474,661","$9,630,085",,2007-11-15,93.0,Twentieth Century Fox,"Comedy, Family, Fantasy",G
