link_stub,movie_title,rank_g_movies,lifetime_gross,rank_overall,year,domestic_total_gross,international_total_gross,worldwide_total_gross,domestic_opening,budget,release_date,runtime,distributor,genres,rating
/title/tt0115433/?ref_=bo_cso_table_27,101 Dalmatians,27,"$136,189,294",455,1996,"$136,189,294","$184,500,000","$320,689,294","$33,504,025",,1996-11-27,103.0,Walt Disney Studios Motion Pictures,"Adventure, Comedy, Crime, Family",
/title/tt0371606/?ref_=bo_cso_table_28,Chicken Little,28,"$135,386,665",459,2005,"$135,386,665","$179,046,172","$314,432,837","$40,049,778","$150,000,000",2005-11-04,81.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi",G
/title/tt1615918/?ref_=bo_cso_table_29,Alvin and the Chipmunks: Chipwrecked,29,"$133,110,742",474,2011,"$133,110,742","$209,584,693","$342,695,435","$23,244,744","$75,000,000",2011-12-14,87.0,Twentieth Century Fox,"Adventure, Animation, Comedy, Family, Fantasy, Music, Musical",G
/title/tt2357291/?ref_=bo_cso_table_30,Rio 2,30,"$131,538,435",484,2014,"$131,538,435","$367,242,682","$498,781,117","$39,327,869","$103,000,000",2014-03-20,101.0,Twentieth Century Fox,"Adventure, Animation, Comedy, Family, Music, Musical",G
/title/tt2452042/?ref_=bo_cso_table_31,The Peanuts Movie,31,"$130,178,411",492,2015,"$130,178,411","$116,054,702","$246,233,113","$44,213,073","$99,000,000",2015-10-29,88.0,Twentieth Century Fox,"Adventure, Animation, Comedy, Drama, Family",G
/title/tt0120762/?ref_=bo_cso_table_32,Mulan,32,"$120,620,254",561,1998,"$120,620,254","$183,700,000","$304,320,254","$22,745,143",,1998-06-19,88.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical, War",
/title/tt0097757/?ref_=bo_cso_table_33,The Little Mermaid,33,"$111,543,479",639,1989,"$111,543,479","$99,800,000","$211,343,479","$6,031,914",,1989-11-17,83.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance",
/title/tt0247638/?ref_=bo_cso_table_34,The Princess Diaries,34,"$108,248,956",666,2001,"$108,248,956","$57,086,197","$165,335,153","$22,862,269","$26,000,000",2001-08-03,115.0,Walt Disney Studios Motion Pictures,"Comedy, Family, Romance",G
/title/tt0120630/?ref_=bo_cso_table_35,Chicken Run,35,"$106,834,564",681,2000,"$106,834,564","$118,000,000","$224,834,564","$17,506,162","$45,000,000",2000-06-23,84.0,DreamWorks Distribution,"Adventure, Animation, Comedy, Drama, Family",
/title/tt0780521/?ref_=bo_cso_table_36,The Princess and the Frog,36,"$104,400,899",703,2009,"$104,400,899","$162,644,866","$267,045,765","$786,190","$105,000,000",2009-11-25,97.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance",
/title/tt0058331/?ref_=bo_cso_table_37,Mary Poppins,37,"$102,272,727",729,1964,"$102,272,727","$809,653","$103,082,380",,,1964-08-29,139.0,Walt Disney Studios Motion Pictures,"Comedy, Family, Fantasy, Musical",G
/title/tt0034492/?ref_=bo_cso_table_38,Bambi,38,"$102,247,150",730,1942,"$102,247,150","$165,200,000","$267,447,150",,,1942-08-21,70.0,RKO Radio Pictures,"Adventure, Animation, Drama, Family",G
/title/tt0134067/?ref_=bo_cso_table_39,The Rugrats Movie,39,"$100,494,675",762,1998,"$100,494,675","$40,400,000","$140,894,675","$27,321,470","$24,000,000",1998-11-20,79.0,Paramount Pictures,"Adventure, Animation, Comedy, Drama, Family, Musical",
/title/tt0116583/?ref_=bo_cso_table_41,The Hunchback of Notre Dame,41,"$100,138,851",776,1996,"$100,138,851","$225,200,000","$325,338,851","$21,037,414","$100,000,000",1996-06-21,91.0,Walt Disney Studios Motion Pictures,"Animation, Drama, Family, Musical, Romance",
/title/tt0377981/?ref_=bo_cso_table_42,Gnomeo & Juliet,42,"$99,967,670",782,2011,"$99,967,670","$94,000,000","$193,967,670","$25,356,909",,2011-02-10,84.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance",
/title/tt0119282/?ref_=bo_cso_table_43,Hercules,43,"$99,112,101",784,1997,"$99,112,101","$153,600,000","$252,712,101","$249,567","$85,000,000",1997-06-15,93.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance",
/title/tt0396555/?ref_=bo_cso_table_44,Meet the Robinsons,44,"$97,822,171",789,2007,"$97,822,171","$71,510,863","$169,333,034","$25,123,781",,2007-03-23,95.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Music, Musical, Sci-Fi",G
/title/tt0368933/?ref_=bo_cso_table_45,The Princess Diaries 2: Royal Engagement,45,"$95,170,481",809,2004,"$95,170,481","$39,564,000","$134,734,481","$22,956,453","$40,000,000",2004-08-11,113.0,Walt Disney Studios Motion Pictures,"Comedy, Family, Romance",
/title/tt0048280/?ref_=bo_cso_table_46,Lady and the Tramp,46,"$93,602,326",824,1955,"$93,602,326","$331,068","$93,933,394",,"$4,000,000",1955-06-22,76.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Musical, Romance",G
/title/tt0042332/?ref_=bo_cso_table_47,Cinderella,47,"$93,141,149",832,1950,"$93,141,149","$3,242,181","$96,383,330",,,1950-03-04,74.0,Walt Disney Studios Motion Pictures,"Animation, Family, Fantasy, Musical, Romance",G
/title/tt0962726/?ref_=bo_cso_table_48,High School Musical 3: Senior Year,48,"$90,559,416",862,2008,"$90,559,416","$162,349,761","$252,909,177","$42,030,184","$11,000,000",2008-10-22,112.0,Walt Disney Studios Motion Pictures,"Comedy, Drama, Family, Music, Musical, Romance",G
/title/tt0120917/?ref_=bo_cso_table_49,The Emperor's New Groove,49,"$89,636,687",873,2000,"$89,636,687","$80,025,000","$169,661,687","$9,812,302","$100,000,000",2000-12-15,78.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy",
/title/tt0328880/?ref_=bo_cso_table_52,Brother Bear,52,"$85,336,277",918,2003,"$85,336,277","$165,061,521","$250,397,798","$291,940",,2003-10-24,85.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Drama, Family, Fantasy, Musical",
/title/tt0452681/?ref_=bo_cso_table_53,The Santa Clause 3: The Escape Clause,53,"$84,500,122",932,2006,"$84,500,122","$26,268,000","$110,768,122","$19,504,038",,2006-11-02,97.0,Walt Disney Studios Motion Pictures,"Adventure, Comedy, Family, Fantasy",G
/title/tt0032910/?ref_=bo_cso_table_54,Pinocchio,54,"$84,254,167",936,1940,"$84,254,167","$37,637,878","$121,892,045",,,1940-02-09,88.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Family, Fantasy, Musical",G
/title/tt0413895/?ref_=bo_cso_table_55,Charlotte's Web,55,"$82,985,708",962,2006,"$82,985,708","$65,978,114","$148,963,822","$11,457,353","$85,000,000",2006-12-07,97.0,Paramount Pictures,"Adventure, Comedy, Family, Fantasy",G
/title/tt0268397/?ref_=bo_cso_table_57,Jimmy Neutron: Boy Genius,57,"$80,936,232",997,2001,"$80,936,232","$22,056,304","$102,992,536","$13,832,786","$30,000,000",2001-12-21,82.0,Paramount Pictures,"Action, Adventure, Animation, Comedy, Family, Sci-Fi",
