international_total_gross,domestic_total_gross,rank,movie_title,max_theaters,opening_theathers,worldwide_total_gross,domestic_opening,budget,release_date,runtime,distributor,genres,rating,link_stub
8206145,8206145,815,Whose Life Is It Anyway?,615.0,,0,0,0,19811202,119.0,MetroGoldwynMayer (MGM),Comedy Drama,,/title/tt0083326/?ref_=bo_ge_table_15
107361,8117637,816,Hoot,3018.0,3018.0,8224998,3400000,15000000,20060505,95.0,New Line Cinema,Adventure Comedy Family,PG,/title/tt0453494/?ref_=bo_ge_table_16
2110516,8050977,817,Punisher: War Zone,2508.0,2508.0,10161493,4271451,35000000,20081204,103.0,Lionsgate,Action Crime Drama Thriller,R,/title/tt0450314/?ref_=bo_ge_table_17
10056677,7873007,818,City of Ember,2023.0,2022.0,17929684,3129473,55000000,20081009,90.0,Twentieth Century Fox,Adventure Family Fantasy SciFi,PG,/title/tt0970411/?ref_=bo_ge_table_18
7850367,7791979,819,Vampire Academy,2676.0,2676.0,15642346,3921742,0,20140207,104.0,The Weinstein Company,Action Comedy Drama Fantasy Horror Mystery Thriller,PG13,/title/tt1686821/?ref_=bo_ge_table_19
7343114,7343114,821,The Crucible,344.0,1.0,0,62995,0,19961129,124.0,Twentieth Century Fox,Drama History,PG13,/title/tt0115988/?ref_=bo_ge_table_21
7258543,7258543,822,Buddy Buddy,248.0,,0,0,0,19811211,96.0,MetroGoldwynMayer (MGM),Comedy,,/title/tt0082111/?ref_=bo_ge_table_22
7000000,7000000,823,Cat People,600.0,600.0,0,1617636,0,19820402,118.0,Universal Pictures,Fantasy Horror Thriller,,/title/tt0083722/?ref_=bo_ge_table_23
1678497,6886089,824,Willard,1762.0,1761.0,8564586,4000000,20000000,20030314,100.0,New Line Cinema,Drama Horror Thriller,PG13,/title/tt0310357/?ref_=bo_ge_table_24
21402720,6880917,825,Thunderbirds,2062.0,2057.0,28283637,2766810,57000000,20040723,95.0,Universal Pictures,Action Adventure Comedy Family SciFi,PG,/title/tt0167456/?ref_=bo_ge_table_25
63980,6854611,826,The Spectacular Now,770.0,4.0,6918591,197415,0,20130802,95.0,A24,Comedy Drama Romance,R,/title/tt1714206/?ref_=bo_ge_table_26
