link_stub,rank,movie_title,lifetime_gross,max_theaters,opening_weekend,opening_theathers,release_date_x,distributor_x,domestic_total_gross,international_total_gross,worldwide_total_gross,domestic_opening,budget,release_date_y,runtime,distributor_y,genres,rating
/title/tt0100758/?ref_=bo_ge_table_50,150,Teenage Mutant Ninja Turtles,"$135,265,915","2,377","$25,398,367","2,006","Mar 30, 1990","New Line Cinema

",135384756,66700000,202084756,25398367,13500000,1990-03-30,93.0,New Line Cinema,"Action, Adventure, Comedy, Family, Sci-Fi",
/title/tt0103060/?ref_=bo_ge_table_88,288,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813","2,868","$20,030,473","2,868","Mar 22, 1991","New Line Cinema

",78656813,78656813,0,20030473,25000000,1991-03-22,88.0,New Line Cinema,"Action, Adventure, Comedy, Family, Sci-Fi",
/title/tt0108308/?ref_=bo_ge_table_76,476,Teenage Mutant Ninja Turtles III,"$42,273,609","2,087","$12,419,597","2,087","Mar 19, 1993","New Line Cinema

",42273609,42273609,0,12419597,21000000,1993-03-19,96.0,New Line Cinema,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",PG
/title/tt3949660/?ref_=bo_ge_table_70,270,Teenage Mutant Ninja Turtles: Out of the Shadows,"$82,051,601","4,071","$35,316,382","4,071","Jun 3, 2016","Paramount Pictures

",82051601,163572247,245623848,35316382,135000000,2016-06-02,112.0,Paramount Pictures,"Action, Adventure, Comedy, Sci-Fi",PG-13
/title/tt0120317/?ref_=bo_ge_table_98,698,That Darn Cat,"$18,301,610","1,891","$6,424,617","1,891","Feb 14, 1997","Walt Disney Studios Motion Pictures

",18301610,18301610,0,6424617,0,1997-02-14,89.0,Walt Disney Studios Motion Pictures,"Action, Comedy, Crime, Family, Mystery",PG
/title/tt0246404/?ref_=bo_ge_table_55,955,The 24th Day,"$14,460",1,"$2,001",1,"May 14, 2004","Screen Media Films

",14460,14460,0,2001,0,2004-05-14,92.0,Screen Media Films,"Crime, Drama, Thriller",R
/title/tt2304933/?ref_=bo_ge_table_32,532,The 5th Wave,"$34,916,787","2,908","$10,326,356","2,908","Jan 22, 2016","Sony Pictures Entertainment (SPE)

",34916787,74989585,109906372,10326356,38000000,2015-01-14,112.0,Sony Pictures Entertainment (SPE),"Action, Adventure, Sci-Fi, Thriller",PG-13
/title/tt0101272/?ref_=bo_ge_table_91,191,The Addams Family,"$113,502,426","2,411","$24,203,754","2,411","Nov 22, 1991","Paramount Pictures

",113502426,78000000,191502426,24203754,30000000,1991-11-22,99.0,Paramount Pictures,"Comedy, Fantasy",
/title/tt0159421/?ref_=bo_ge_table_71,771,The Adventures of Elmo in Grouchland,"$11,683,047","1,210","$3,255,033","1,210","Oct 1, 1999","Sony Pictures Entertainment (SPE)

",11683047,11683047,0,3255033,26000000,1999-10-01,73.0,Sony Pictures Entertainment (SPE),"Adventure, Comedy, Family, Fantasy, Musical",
/title/tt0106223/?ref_=bo_ge_table_20,620,The Adventures of Huck Finn,"$24,103,594","1,803","$5,033,029","1,786","Apr 2, 1993","Walt Disney Studios Motion Pictures

",24103594,24103594,0,5033029,0,1993-04-02,108.0,Walt Disney Studios Motion Pictures,"Adventure, Comedy, Drama, Family",PG
